date, pm25, pm10, o3, no2, so2, co
2022-11-15,71,36,21,31,4,6
2022-11-16,78,39,15,43,4,7
2022-11-17,79,50,15,48,5,8
2022-11-18,101,34,28,38,4,6
2022-11-19,74,32,32,34,4,6
2022-11-20,69,42,24,44,4,7
2022-11-21,93,55,15,39,4,8
2022-11-22,116,43,25,29,4,6
2022-11-23,93,54,11,41,4,7
2022-11-24,104,58,40,35,5,7
2022-11-25,119,55,25,15,4,4
2022-11-26,66,20,19,26,4,4
2022-11-27,42,29,6,40,4,6
2022-11-28,56,23,25,17,3,5
2022-11-29,44,28,21,9,3,3
2022-11-30,24,23,20,14,4,4
2022-12-01,34,21,17,29,3,5
2022-12-02,39,36,20,32,4,6
2022-12-03,82,21,23,11,3,4
2022-12-04,30,23,19,22,3,4
2022-12-05,44,29,16,39,4,6
2022-12-06,60,37,19,32,3,6
2022-12-07,62,31,12,45,3,5
2022-12-08,46,45,15,45,5,8
2022-12-09,95,45,10,47,4,7
2022-12-10,89,47,22,29,5,7
2022-12-11,94,36,8,45,4,7
2022-12-12,81,137,24,19,2,4
2022-12-13,115,48,20,13,3,3
2022-12-14,44,33,14,34,2,6
2022-12-15,74,33,15,25,4,5
2022-12-16,74,27,22,19,4,3
2022-12-17,60,21,23,11,3,3
2022-12-18,32,23,13,30,3,5
2022-12-19,52,36,7,44,4,6
2022-12-20,83,43,23,38,4,7
2022-12-21,98,30,21,13,3,5
2022-12-22,64,21,24,11,2,4
2022-12-23,48,31,16,30,3,6
2022-12-24,73,42,21,28,4,8
2022-12-25,103,48,4,36,4,10
2022-12-26,118,51,6,48,4,9
2022-12-27,124,36,21,31,5,7
2022-12-28,79,33,14,36,5,6
2022-12-29,75,41,21,37,5,7
2022-12-30,98,45,7,50,5,10
2022-12-31,118,52,28,27,5,8
2023-01-01,124,23,18,20,4,5
2022-07-01,29,29,70,16,3,4
2022-07-02,57,40,58,12,4,3
2022-07-03,92,39,37,19,3,3
2022-07-04,92,34,62,24,3,4
2022-07-05,84,32,47,18,3,3
2022-07-06,77,22,24,14,2,3
2022-07-07,46,28,33,15,3,3
2022-07-08,67,25,37,15,3,3
2022-07-09,64,45,91,18,4,5
2022-07-10,86,28,48,17,3,3
2022-07-11,59,12,36,14,2,2
2022-07-12,21,17,16,20,2,3
2022-07-13,39,14,29,13,2,3
2022-07-14,29,27,48,17,3,3
2022-07-15,60,32,41,17,2,4
2022-07-16,79,26,42,12,3,4
2022-07-17,68,27,44,17,3,4
2022-07-18,65,35,60,15,4,4
2022-07-19,82,38,56,16,3,4
2022-07-20,81,14,40,12,2,4
2022-07-21,34,25,43,9,3,3
2022-07-22,59,33,37,12,3,4
2022-07-23,73,18,38,9,3,4
2022-07-24,48,19,39,13,3,4
2022-07-25,28,33,99,17,3,4
2022-07-26,67,31,51,18,3,4
2022-07-27,66,24,46,13,3,3
2022-07-28,63,23,49,14,3,3
2022-07-29,62,17,33,10,3,3
2022-07-30,45,11,11,9,3,2
2022-07-31,29,14,19,11,3,3
2022-08-01,34,13,17,10,2,2
2022-08-02,26,23,30,12,2,3
2022-08-03,62,19,39,9,3,2
2022-08-04,50,19,32,10,3,2
2022-08-05,49,36,39,11,2,3
2022-08-06,85,31,34,7,3,3
2022-08-07,73,23,40,11,2,3
2022-08-08,50,10,29,15,3,3
2022-08-09,22,14,34,20,2,3
2022-08-10,29,15,31,22,3,4
2022-08-11,37,28,69,20,3,3
2022-08-12,56,31,19,29,3,5
2022-08-13,71,24,38,12,3,4
2022-08-14,60,27,39,6,3,2
2022-08-15,42,23,43,14,3,4
2022-08-16,51,24,48,22,3,4
2022-08-17,54,24,54,19,3,4
2022-08-18,57,26,24,19,3,4
2022-08-19,57,27,48,11,3,4
2022-08-20,61,26,58,12,2,5
2022-08-21,60,27,39,17,3,3
2022-08-22,64,17,30,17,3,3
2022-08-23,38,15,27,14,3,3
2022-08-24,29,19,29,21,2,3
2022-08-25,21,35,62,17,3,4
2022-08-26,70,24,41,10,3,4
2022-08-27,39,15,33,11,3,3
2022-08-28,29,13,18,17,2,3
2022-08-29,21,5,17,16,3,3
2022-08-30,11,9,25,15,3,4
2022-08-31,13,20,32,23,3,4
2022-09-01,36,17,33,16,3,3
2022-09-02,32,13,31,9,3,3
2022-09-03,17,9,26,9,3,3
2022-09-04,16,5,50,11,3,2
2022-09-05,9,13,51,11,3,3
2022-09-06,24,34,25,28,3,4
2022-09-07,59,29,32,32,4,5
2022-09-08,55,19,17,18,3,4
2022-09-09,45,13,20,10,3,3
2022-09-10,30,20,23,10,3,3
2022-09-11,49,18,24,14,3,4
2022-09-12,50,19,17,19,3,4
2022-09-13,55,19,36,16,3,3
2022-09-14,42,20,34,13,3,3
2022-09-15,38,27,27,20,4,3
2022-09-16,51,25,29,21,2,5
2022-09-17,61,17,22,9,3,3
2022-09-18,44,15,24,4,2,2
2022-09-19,22,22,36,8,2,2
2022-09-20,30,25,36,17,3,3
2022-09-21,45,21,40,18,3,3
2022-09-22,37,25,32,19,3,3
2022-09-23,39,19,36,12,3,3
2022-09-24,26,20,48,17,3,4
2022-09-25,45,21,43,25,3,4
2022-09-26,53,22,38,34,3,4
2022-09-27,59,31,36,36,3,5
2022-09-28,67,60,74,31,3,6
2022-09-29,135,55,77,34,3,5
2022-09-30,118,55,72,36,3,6
2022-04-01,36,35,36,25,4,4
2022-04-02,72,50,48,25,5,5
2022-04-03,106,59,45,31,4,6
2022-04-04,125,43,58,34,5,5
2022-04-05,93,48,43,20,4,3
2022-04-06,86,40,35,19,3,3
2022-04-07,43,50,48,31,4,4
2022-04-08,73,54,64,24,4,5
2022-04-09,69,49,56,19,4,5
2022-04-10,63,41,39,26,4,4
2022-04-11,54,33,32,15,3,3
2022-04-12,59,16,34,12,2,3
2022-04-13,32,11,34,11,2,3
